Jahr,Bundesland,Beförderte Personen,Beförderungsleistung,Fahrleistung,Bevölkerung,Fläche,Bevölkerungsdichte,Neue Länder,Stadtstaaten
2015,Bremen,152504301,1078489378,59597782,663000,420,1578.5714285714287,0,1
2015,Hamburg,699237279,4523781727,115902398,1773000,755,2348.344370860927,0,1
2015,Hessen,2043674962,42895004264,711203692,6115000,21116,289.59083159689334,0,0
2015,Mecklenburg-Vorpommern,128494547,2134599904,87030031,1601000,23293,68.73309577984803,1,0
2015,Niedersachsen,627938302,8784941296,358533830,7850000,47710,164.5357367428212,0,0
2015,Nordrhein-Westfalen,2245043127,18123846425,745304755,17666000,34113,517.8670887931287,0,0
2015,Rheinland-Pfalz,253440690,4024352882,186144574,4019000,19858,202.3869473260147,0,0
2015,Saarland,83337797,992992707,52050254,988000,2571,384.28626993387786,0,0
2015,Sachsen,440809065,4470572795,210919676,4057000,18450,219.89159891598916,1,0
2015,Sachsen-Anhalt,165586898,2022368884,114241755,2231000,20452,109.08468609426951,1,0
2015,Schleswig-Holstein,169199811,2901814882,116751082,2840000,15802,179.72408555879002,0,0
2015,Thüringen,159475636,1660953825,109955778,2153000,16202,132.88482903345266,1,0
2016,Baden-Württemberg,1226980455,11040060252,469241298,10935000,35674,306.52576105847396,0,0
2016,Bayern,1399582136,16777602436,664933381,12892000,70542,182.75637209038587,0,0
2016,Berlin,1504711987,15184685716,348943466,3537000,891,3969.6969696969695,0,1
2016,Brandenburg,136320394,1681283398,98126867,2490000,29654,83.96843596142173,1,0
2016,Bremen,155048689,1060953707,58515538,673000,420,1602.3809523809523,0,1
2016,Hamburg,715559513,4667116429,115348179,1794000,755,2376.158940397351,0,1
2016,Hessen,2041221235,40788471118,687165876,6202000,21116,293.7109301003978,0,0
2016,Mecklenburg-Vorpommern,130021226,2105062201,88290162,1614000,23293,69.29120336581806,1,0
2016,Niedersachsen,633173097,8461123249,340883607,7952000,47710,166.67365332215468,0,0
2016,Nordrhein-Westfalen,2288696127,18994566218,750808875,17911000,34113,525.0491015155512,0,0
2016,Rheinland-Pfalz,253866577,4045065812,201511022,4064000,19858,204.65303655957297,0,0
2016,Saarland,64513047,744050091,44433000,996000,2571,387.3978996499417,0,0
2016,Sachsen,452140168,4119146998,204199152,4088000,18450,221.57181571815718,1,0
2016,Sachsen-Anhalt,185531106,2329332852,121978592,2242000,20452,109.62253080383337,1,0
2016,Schleswig-Holstein,162801488,2656635247,114163831,2866000,15802,181.369446905455,0,0
2016,Thüringen,166123859,1629529954,109149354,2169000,16202,133.87236143685965,1,0
2017,Baden-Württemberg,1197786682,11057391860,468142131,10902000,35674,305.60071760946346,0,0
2017,Bayern,1390094500,15949736344,650345307,12835000,70542,181.9483428312211,0,0
2017,Berlin,1531707713,16021482886,373583651,3559000,891,3994.388327721661,0,1
2017,Brandenburg,134665358,1665433752,92727399,2459000,29654,82.92304579483375,1,0
2017,Bremen,155644602,1056342088,57798709,671000,420,1597.6190476190477,0,1
2017,Hamburg,731122508,4772905435,119955636,1808000,755,2394.701986754967,0,1
2017,Hessen,2058151754,39975615025,645664290,6153000,21116,291.3904148512976,0,0
2017,Mecklenburg-Vorpommern,134657061,2088223779,86942383,1582000,23293,67.91740007727644,1,0
2017,Niedersachsen,634932451,8518380699,341381455,7854000,47710,164.61957660867742,0,0
2017,Nordrhein-Westfalen,2316095026,18854529575,727170658,17725000,34113,519.5966347140386,0,0
2017,Rheinland-Pfalz,258649353,4121627712,203130261,4039000,19858,203.39409809648504,0,0
2017,Saarland,58701645,668200255,33560632,984000,2571,382.73045507584595,0,0
2017,Sachsen,460713026,3898603141,201407943,4019000,18450,217.8319783197832,1,0
2017,Sachsen-Anhalt,177051394,2373536996,116775329,2194000,20452,107.27557207119108,1,0
2017,Schleswig-Holstein,153160960,2178217388,102763083,2845000,15802,180.04050120237946,0,0
2017,Thüringen,169001945,1632042514,107791016,2112000,16202,130.35427724972226,1,0
2018,Baden-Württemberg,1209400295,11231376201,483210992,10897000,35674,305.46055951112857,0,0
2018,Bayern,1392949107,15847451941,650765156,12841000,70542,182.03339854271215,0,0
2018,Berlin,1611597822,16110908528,375600871,3589000,891,4028.0583613916947,0,1
2018,Brandenburg,137757589,1601650246,94584878,2468000,29654,83.22654616577864,1,0
2018,Bremen,152216533,1026843316,57573183,673000,420,1602.3809523809523,0,1
2018,Hamburg,737754544,4762391158,117040498,1825000,755,2417.218543046358,0,1
2018,Hessen,2088212408,40142247562,651193683,6169000,21116,292.1481341163099,0,0
2018,Mecklenburg-Vorpommern,125131009,1845737130,80458227,1577000,23293,67.7027433134418,1,0
2018,Niedersachsen,638535592,8307750564,344217366,7824000,47710,163.9907776147558,0,0
2018,Nordrhein-Westfalen,2274101269,19353443698,730624180,17646000,34113,517.2808020402779,0,0
2018,Rheinland-Pfalz,292844461,4379822651,211987980,4010000,19858,201.93372947930305,0,0
2018,Saarland,57874163,651324746,32775832,977000,2571,380.00777907429017,0,0
2018,Sachsen,462586989,3842985661,203048048,4002000,18450,216.91056910569105,1,0
2018,Sachsen-Anhalt,182173353,2388581091,111972602,2163000,20452,105.75982788969294,1,0
2018,Schleswig-Holstein,155834835,2214378165,100282083,2841000,15802,179.78736868750792,0,0
2018,Thüringen,170838565,1669685236,108598681,2109000,16202,130.16911492408346,1,0
