;id;title;city;quarter;postcode;street;houseNo;purchase_price;rent_cold;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;rent_cold_per_qm
100;114294909;sehr schöne 4-zi-maisonette-loft-garten-whg mit großer terrasse u.  EBK;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;;;;4680.0;225.0;4.0;;;false;RENT;;6;20.8
101;115433874;schöne möblierte 2 zi-whg mit EBK balkon und aufzug im 2. og;Berlin;Mitte (Mitte);10115;;;;1500.0;68.0;2.0;;;false;RENT;;6;22.1
102;115005513;Großzügiges Maisonette Penthouse mit Südwest-Dachterrasse und Spreeblick;Berlin;Tiergarten (Tiergarten);10557;Helgoländer Ufer;7;;3196.0;230.0;6.0;52.52206;13.3488;false;RENT;;6;13.9
103;115124435;2 große Balkone, denn der nächste Sommer kommt bestimmt - Neubau Erstbezug;Berlin;Wilmersdorf (Wilmersdorf);10711;Heilbronner Str.;10;;2000.0;120.0;4.0;52.50127;13.29415;false;RENT;;6;16.7
104;114633125;Großartiges 2-Zi Dachgeschoss in bester City-West Lage;Berlin;Wilmersdorf (Wilmersdorf);10707;Konstanzer Str;10;;1665.6;104.1;2.0;52.49597;13.31069;false;RENT;;6;16.0
105;114977577;Im neuen Jahr in die neue Wohnung;Berlin;Johannisthal (Treptow);12487;Groß-Berliner Damm;1;;500.0;31.0;1.0;52.45142;13.50987;false;RENT;;6;16.1
106;115424426;Hübsche, helle u. gut geschnittene 3-Zi.-Whg. mit gfl. W-B, Lam. - in Weißensee;Berlin;Weißensee (Weißensee);13086;Pistoriusstr.;9;;950.0;87.0;3.0;52.55108;13.45607;false;RENT;;6;10.9
107;115294155;2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke;Berlin;Kreuzberg (Kreuzberg);10967;;;;1050.0;60.42;2.0;;;false;RENT;;6;17.4
108;115208949;Hasenheide - Leben im Quartier;Berlin;Neukölln (Neukölln);10967;Hasenheide;74;;770.12;28.52;1.0;52.48795;13.41262;false;RENT;;6;27.0
109;115171675;Hasenheide - Leben im Quartier;Berlin;Neukölln (Neukölln);10967;Hasenheide;74;;1697.33;106.08;4.0;52.48795;13.41262;false;RENT;;6;16.0
110;114939336;Hasenheide - Leben im Quartier;Berlin;Neukölln (Neukölln);10967;Hasenheide;74;;817.02;30.26;1.0;52.48795;13.41262;false;RENT;;6;27.0
